,zip_code,median_price
0,20120,530000
1,20121,510000
2,20124,630000
3,20151,300671
4,20170,570000
5,20171,470000
6,20190,338000
7,20191,675300
8,20194,946269
9,22003,565000
10,22015,569750
11,22027,583500
12,22030,553300
13,22031,375000
14,22032,705000
15,22033,370000
16,22039,680000
17,22041,610000
18,22042,399900
19,22043,625000
20,22044,760000
21,22046,938000
22,22066,805000
23,22079,545000
24,22101,850000
25,22102,855888
26,22124,650000
27,22150,599900
28,22152,472895
29,22153,736000
30,22180,720000
31,22181,395000
32,22182,834971
33,22303,587000
34,22306,525000
35,22307,435000
36,22308,857000
37,22309,421350
38,22310,575000
39,22311,559497
40,22312,470000
41,22315,730100
